player_id,player,mlb_id,fv,hit,power,run,arm,field,fb_grade,fb_velo,cb_grade,sl_grade,ch_grade,control,height,weight,bats,throws,writeup,commits_to
p0000,Roch Cholowsky,800604,50,50,45,60,55,55,,,,,,,"6' 2""",202,R,R,"Cholowsky’s father, Dan, played Minor League ball for eight years and has been a long-time scout for the Blue Jays, Padres and Reds. One of the best players in his area for 2023 is his son, a two-sport star who serves as Hamilton High School’s quarterback in the fall. Cholowsky showed off an intriguing combination of baseball IQ and tools over the summer, and though looks were a bit limited because of his commitment to football, he continued to impress during his senior season.As a younger player, Cholowsky looked like the type who would hit a ton but not be able to stay at shortstop. His profile has changed some as he’s matured, with more conviction on his defensive ability and some small questions about the impact of his bat. He has a knack for contact from the right side of the plate and doesn’t swing and miss much, but he’ll sometimes get out of his legs and is content with shooting the ball up the middle. He’s hit-over-power right now, though more impact could certainly come as he fills out his 6-foot-2 frame and learns how to drive the ball more consistently.Cholowsky plays shortstop kind of like how he quarterbacks, showing an ability to throw on the run. He’s very comfortable throwing from all angles and combines that with natural comfort, confident hands and plus instincts. While he’s not a pure burner, he is a plus runner and uses his speed well on both sides of the ball. Interested teams will have to contend with the potential of him playing two sports at UCLA, but he has a chance to go in the top few rounds, just like former Hamilton standout Cody Bellinger did in 2013.",UCLA
p0001,Grady Emerson,815690,65,60,55,55,60,60,,,,,,,"6' 3""",185,L,R,"Scouts have a difficult time finding any flaws in Emerson's game, with one noting the worst thing he can say about him is that he's not Bobby Witt Jr. Like Witt, Emerson is a rangy prep shortstop from the Dallas/Fort Worth metroplex with all-around tools, even if his aren't quite as loud. He transferred from Argyle HS to Fort Worth Christian HS to play his senior season under former big leaguer Rusty Greer, who also mentored Witt while he was growing up.Emerson's advanced skills stand out as much as his tools, starting with the way he stacks up quality at-bats, making good swing decisions and barreling balls to all fields from the left side of the plate. He generates impressive exit velocities with a pretty left-handed stroke, and while he doesn't sell out for power, his bat speed and projectable strength portend future 25-homer pop. He presently focuses on just making hard contact in game action but can launch balls in batting practice and finished second at the High School Home Run Derby during All-Star Week.Emerson is an average runner out of the batter's box but pairs solid speed underway with good instincts. The Texas recruit may be a bit underrated with the glove because he's such a fluid defender at shortstop that he makes difficult plays look routine. He has a strong arm, quick hands, sound fundamentals and a finely calibrated internal clock, so he's a lock to stay at short. His makeup is as impressive as the rest of his game.",
p0002,Vahn Lackey,822518,60,60,55,50,60,55,,,,,,,"6' 2""",215,R,R,"A late bloomer as a Georgia high schooler, Lackey didn't receive any NCAA Division I offers until his senior year in 2023, and he didn't draw much attention from scouts because he attended few showcase events. Now he's the best catching prospect in the 2026 Draft and poised to join Jason Varitek, Matt Wieters, Joey Bart and Kevin Parada as first-round backstops out of Georgia Tech. He has dramatically improved each season with the Yellow Jackets, ranks fifth in Division I in OPS (1.307) entering NCAA tournament play and won't last longer than the top three or four picks.Lackey's right-handed swing can get a little busy, but that doesn't prevent him from making consistent contact to all fields. He's extremely patient, rarely misses fastballs and has the plus raw power to provide at least 20 homers on an annual basis. His flat stroke produces too much groundball contact but he's driving balls harder than ever and in the air a bit more often this spring.Extremely athletic for a 6-foot-2, 215-pound catcher, Lackey isn't quick out of the batter's box but can flash plus run times once he gets going. He's very agile behind the plate and should become a solid receiver and blocker once he improves his focus and consistency. His strong and accurate arm is another asset, and he looked capable at third base while playing 13 errorless games there in 2025.",Georgia Tech
p0005,Jacob Lombard,813075,60,55,60,65,50,55,,,,,,,"6' 3""",195,R,R,"Gulliver Prep south of Miami has had more than 20 players drafted over the years, but just two first-rounders. The most recent was George Lombard Jr., now an ascending star in the Yankees system, and now it’s his brother Jacob’s turn. The younger son of former big leaguer George Lombard, Jacob showed off an exciting combination of athleticism and baseball IQ on the summer showcase circuit, putting him in position to come off the board well before his brother did at No. 26 overall in 2023.A 6-foot-3 premium athlete at a premium position, Lombard is a right-handed hitter with plenty of juice in his bat. He has the acumen to be a plus hitter in the future, though he did have some swing-and-miss on fastballs up in the zone over the summer, with a bat path that wasn’t matching the velocity he was facing. He’s already added strength, and speed, of late, with potential plus power. His main weakness might be that he’s a people-pleaser and listened to too much advice on the showcase circuit, with most evaluators believing he’ll be just fine once he lets his athleticism play. He’s an easily plus runner who should be a threat to run at the next level.Lombard will be able to play shortstop for a very long time, with outstanding range, feet, hands and action. Some might have questions about his arm strength, but he has plenty when he needs it. All of this adds up to him being a potential top of the first round pick.",
p0003,Jackson Flora,814176,60,,,,,,70,96-97,,55,55,55,"6' 5""",205,R,R,"Dillon Tate was the No. 4 overall pick in the 2015 Draft out of Santa Barbara. Ten years later, USCB's Tyler Bremner was taken with the No. 2 pick in the 2025 Draft. Flora, who relieved as a freshman and then moved in to join Bremner in the Gauchos rotation in 2025, could be the next in line to be an early pick in the first round. After a solid sophomore season and even better junior campaign, it wouldn't be as much of a surprise as Bremner was.Flora's combination of size and arm strength should intrigue most teams. The 6-foot-5 right-hander already offers premium velocity, with a fastball that sits in the 96-97 mph range and regularly touches triple digits, with good shape, carry and armside ride to it. He'll employ two different sliders, both of which can flash plus. There's a slower 78-81 mph sweeper with a lot of horizontal depth and also a harder, more gyro-like traditional slider, thrown 86-89 mph. He has plus feel to spin and just needs to gain a little bit more consistency with shape. His hard changeup is coming along, a kick change with downer splitter depth that now flashes plus.A solid strike-thrower who maintains his velocity, Flora might not have the same feel to pitch Bremner had, but he's more physical than his predecessor. He's posting every week for the Gauchos and has separated himself more than any college arm in the class, so he should fly off the board early in the first round.",UC Santa Barbara
p0004,Eric Booth Jr.,835727,60,55,50,70,50,55,,,,,,,"6' 0""",207,L,L,"Eric Booth Sr. turned down the Blue Jays as a 34th-round pick in 1993 and became a record-setting kick returner at Southern Mississippi. His son has inherited his speed and athleticism and will use it to forge a future in baseball. He has added polish to his swing and defense this spring, and his combination of tools and skills should land him in the top 10 picks.Booth has an unconventional setup and pumps his hands away from his body, sometimes leaving him with a choppy-looking left-handed stroke. He nevertheless makes consistent contact and barrels balls while displaying a good sense of the strike zone. His bat speed and strength translate into impressive exit velocities and could result in 20-25 homers per year if he smooths out his stroke and launches balls in the air more regularly. He won the home run derby at the Perfect Game All-American Classic last July.One of the fastest runners in the 2026 high school class, Booth can get from home to first in a little over four seconds and ran the quickest 60-yard dash (6.33 seconds) at the East Coast Pro showcase in August. To make the most of his plus-plus speed, the Vanderbilt recruit will need to hone his basestealing instincts and improve his reads and routes in center field, and he's making strides in both areas. He has addressed the biggest weakness in his game, working to improve his arm strength to average.",
p0007,Drew Burress,806039,45,50,50,55,60,55,,,,,,,"5' 9""",185,R,R,"After winning a Georgia 6-A state championship as a Houston County HS (Warner Robins) sophomore in 2021, Burress tied for the state prep lead and ranked fifth nationally with 17 homers last spring, then won another state title as a senior. One scout likened him to former Peach State prep first-rounder Michael Chavis with less power but more athleticism. If everything comes together at the plate, the Georgia Tech commit could have solid tools across the board.&nbsp;Burress has an aggressive mentality with an uphill right-handed stroke geared to launch balls to his pull side. His bat speed and strength give him plus raw power and he's willing to work counts, though he does come with some swing-and-miss concerns. He'll have to prove that his approach will work against quality pitching and that he can catch up to velocity up in the strike zone.&nbsp;While Burress is capable of playing all three outfield spots, he'll have to retain his solid speed to remain in center. He displays fine defensive instincts and has plus arm strength. He doesn't have much physical projection remaining at 5-foot-9, but his present package of tools is enticing and he plays with a lot of energy.&nbsp;",Georgia Tech
p0008,Gio Rojas,826061,60,,,,,,60,,,60,50,55,"6' 4""",195,R,L,"Marjory Stoneman Douglas High School in Florida has produced seven players who have at least touched the big leagues, with Red Sox phenom Roman Anthony the most recent. That list also includes slugger Anthony Rizzo and lefty Jesús Luzardo. Now there’s another elite-level southpaw coming from the program in the form of Rojas, who performed well at a host of summer showcase events like the East Coast Professional Showcase and MLB’s High School All-American Game, not to mention tossing 11 shutout innings for Team USA en route to a gold medal at the WBSC U-18 World Cup.&nbsp;Rojas has positioned himself as one of the top lefties, and best arms overall, available in the class, high school or college.&nbsp;He can crank his fastball up to 98 mph with outstanding riding life, commanding it to both sides of the plate. It’s a better pitch to his arm side, but can get it glove side when he needs to, missing bats when it’s up in the zone. He complements it with a very nasty three-quarters low-80s sweeping slider that is a true out pitch. He doesn’t use his changeup much, but there’s plenty of feel for it to imagine it being a third effective offering.Athletic with outstanding presence on the mound, Rojas can fill up the strike zone, though he occasionally can try to get downhill too quickly and open up his delivery too early, causing a little more scattered command, things that are easily correctable. The Miami recruit has all the makings of a frontline starter and is in line to be Stoneman Douglas’ first first-round pick.&nbsp;",
p0019,Justin Lebron,807311,55,45,60,60,60,60,,,,,,,"6' 2""",190,R,R,"Overshadowed by first-round picks Arjun Nimmala, George Lombard Jr. and Aidan Miller in Florida's high school shortstop class of 2023, Lebron was on scouting radars but went undrafted because he wouldn't have gone high enough to lure him away from an Alabama commitment. By early 2025 he had become the frontrunner to go No. 1 overall in the 2026 Draft, though he was passed by UCLA's Roch Cholowsky later that spring. He still has a chance of becoming the highest pick in Crimson Tide history, passing Joe Vitello (No. 7 in 1991).The only knock on Lebron is a tendency to chase pitches out of the zone, especially breaking balls. But he's also making strides with his approach and two-strike plan and could develop into an average hitter, which would make him an All-Star. He has added 15 pounds and significant bat speed in college, giving him well-above-average raw power from the right side of the plate, and he also has good feel for driving balls in the air.All the rest of Lebron's tools grade as plus, as does his makeup, and some evaluators think he's even better than that as a defender despite an uncharacteristically erratic spring. He has a quick first step that allows him to steal bases and cover plenty of ground to both sides at shortstop. He can make any throw needed from anywhere at short and would be an asset anywhere on the diamond.",Alabama
p0010,Chris Hacopian,806680,55,60,50,40,45,45,,,,,,,"6' 1""",210,R,R,"Derek Hacopian won the Atlantic Coast Conference triple crown and Player of the Year Award at Maryland in 1992, and his sons Chris and Eddie teamed up with the Terrapins in 2024-25. After Chris slashed .375/.502/.656 with 14 homers and more than twice as many walks (40) as strikeouts (19), and his older brother graduated last spring, he transferred to Texas A&amp;M. His hitting ability and strike-zone judgment rank among the best in the 2026 Draft, though he hasn’t been at his best while dealing with lower-back issues that cost him nearly a month this spring.Hacopian can make hitting look easy because he has advanced feel for the barrel and control of the strike zone. Though he has a busy setup, his right-handed stroke always seems to be on time and produces consistent hard contact. He almost never misses fastballs, hitting .423 with a five percent whiff rate against heaters as a sophomore. While his hitting prowess overshadows his power, the latter is at least average and could be more if he drove balls in the air more often.Hacopian played third base as a freshman before shifting to shortstop as a sophomore, and the Aggies originally committed to playing him there in 2026. He's a below-average runner with average arm strength and a lack of lateral range, so he wound up at second base. It's not a given that he can stay on the dirt at the next level, so he could wind up in left field.",Texas A&M
