player_id,player,stat_type,avg,obp,slg,ops,hr,rbi,sb,era,whip,k_9,bb_9,ip,w,sv
p0000,Roch Cholowsky,BATTER,.320,.462,.636,1.099,21,60,1,,,,,,,
p0002,Vahn Lackey,BATTER,.397,.519,.772,1.291,20,78,15,,,,,,,
p0003,Jackson Flora,PITCHER,,,,,,,,1.06,0.85,11.74,2.82,102.0,12,0
p0007,Drew Burress,BATTER,.358,.473,.657,1.130,16,60,10,,,,,,,
p0012,Ryder Helfrick,BATTER,.283,.417,.562,.979,18,53,8,,,,,,,
p0023,Derek Curiel,BATTER,.353,.431,.526,.957,6,46,13,,,,,,,
p0020,Cameron Flukey,PITCHER,,,,,,,,4.13,1.29,11.63,3.38,24.0,0,0
p0010,Chris Hacopian,BATTER,.319,.411,.578,.990,11,41,3,,,,,,,
p0013,Liam Peterson,PITCHER,,,,,,,,4.59,1.42,11.80,3.83,84.1,3,0
p0019,Justin Lebron,BATTER,.277,.391,.541,.932,16,48,41,,,,,,,
p0009,Tyler Bell,BATTER,.343,.510,.608,1.119,9,29,10,,,,,,,
p0014,Sawyer Strosnider,BATTER,.273,.422,.590,1.012,13,47,12,,,,,,,
p0006,AJ Gracia,BATTER,.354,.489,.632,1.121,14,48,4,,,,,,,
p0025,Cole Carlon,PITCHER,,,,,,,,3.87,1.20,14.30,3.30,83.2,5,0
p0021,Ace Reese,BATTER,.336,.432,.721,1.152,24,74,1,,,,,,,
p0029,Hunter Dietz,PITCHER,,,,,,,,3.57,1.19,13.76,3.26,85.2,7,0
p0026,Cade Townsend,PITCHER,,,,,,,,3.94,1.20,12.38,3.09,64.0,5,0
p0016,Eric Becker,BATTER,.317,.427,.533,.961,7,42,4,,,,,,,
p0040,Tegan Kuhns,PITCHER,,,,,,,,3.56,1.19,11.78,1.78,81.0,5,0
p0033,Logan Reddemann,PITCHER,,,,,,,,2.87,0.97,12.67,1.66,59.2,8,0
p0041,Zion Rose,BATTER,.417,.503,.646,1.149,6,47,24,,,,,,,
p0045,Mason Edwards,PITCHER,,,,,,,,2.07,1.06,15.90,4.42,95.2,8,0
p0047,Chase Brunson,BATTER,.304,.466,.556,1.022,10,51,13,,,,,,,
p0036,Caden Sorrell,BATTER,.341,.436,.743,1.179,23,76,11,,,,,,,
p0054,Aiden Robbins,BATTER,.333,.434,.696,1.130,24,64,12,,,,,,,
p0043,Chris Rembert,BATTER,.343,.399,.459,.858,4,46,12,,,,,,,
p0051,Jack Radel,PITCHER,,,,,,,,3.29,1.03,11.90,2.30,87.2,8,0
p0061,Ben Blair,PITCHER,,,,,,,,3.53,1.02,10.74,1.62,94.1,7,0
p0080,Andrew Williamson,BATTER,.322,.442,.645,1.086,16,48,8,,,,,,,
p0032,Logan Hughes,BATTER,.375,.512,.735,1.247,18,70,2,,,,,,,
p0069,Gavin Grahovac,BATTER,.339,.435,.722,1.157,22,74,5,,,,,,,
