player_id,player,position,school,class_level,consensus_rank,n_sources,p_round1,proj_pick,proj_mean,proj_low,proj_high,landing
p0000,Roch Cholowsky,SS,UCLA,College,1,6,1.0,1,1,1,1,"[{'pick': 1, 'team': 'Chicago White Sox', 'pct': 1.0}]"
p0001,Grady Emerson,SS,"Fort Worth Christian HS, North Richland Hills, Texas",HS,2,5,1.0,2,2.0,2,2,"[{'pick': 2, 'team': 'Tampa Bay Rays', 'pct': 0.96}, {'pick': 3, 'team': 'Minnesota Twins', 'pct': 0.04}]"
p0002,Vahn Lackey,C,Georgia Tech,College,3,6,1.0,3,3.1,3,4,"[{'pick': 3, 'team': 'Minnesota Twins', 'pct': 0.84}, {'pick': 4, 'team': 'San Francisco Giants', 'pct': 0.11}, {'pick': 2, 'team': 'Tampa Bay Rays', 'pct': 0.04}]"
p0003,Jackson Flora,RHP,UC Santa Barbara,College,4,6,1.0,4,4.2,4,5,"[{'pick': 4, 'team': 'San Francisco Giants', 'pct': 0.6}, {'pick': 5, 'team': 'Pittsburgh Pirates', 'pct': 0.29}, {'pick': 3, 'team': 'Minnesota Twins', 'pct': 0.1}]"
p0004,Eric Booth Jr.,OF,Oak Grove HS (MS),HS,5,5,1.0,5,5.1,4,6,"[{'pick': 5, 'team': 'Pittsburgh Pirates', 'pct': 0.45}, {'pick': 6, 'team': 'Kansas City Royals', 'pct': 0.25}, {'pick': 4, 'team': 'San Francisco Giants', 'pct': 0.23}]"
p0007,Drew Burress,OF,Georgia Tech,College,6,6,1.0,6,6.1,5,7,"[{'pick': 6, 'team': 'Kansas City Royals', 'pct': 0.45}, {'pick': 7, 'team': 'Baltimore Orioles', 'pct': 0.24}, {'pick': 5, 'team': 'Pittsburgh Pirates', 'pct': 0.19}]"
p0005,Jacob Lombard,SS,Gulliver Prep,HS,7,5,1.0,7,7.2,6,8,"[{'pick': 7, 'team': 'Baltimore Orioles', 'pct': 0.41}, {'pick': 8, 'team': 'Athletics', 'pct': 0.27}, {'pick': 6, 'team': 'Kansas City Royals', 'pct': 0.18}]"
p0012,Ryder Helfrick,C,Arkansas,College,8,6,1.0,8,8.2,7,10,"[{'pick': 8, 'team': 'Athletics', 'pct': 0.39}, {'pick': 7, 'team': 'Baltimore Orioles', 'pct': 0.18}, {'pick': 9, 'team': 'Atlanta Braves', 'pct': 0.18}]"
p0023,Derek Curiel,OF,LSU,College,9,6,1.0,9,9.3,7,11,"[{'pick': 10, 'team': 'Colorado Rockies', 'pct': 0.3}, {'pick': 9, 'team': 'Atlanta Braves', 'pct': 0.21}, {'pick': 8, 'team': 'Athletics', 'pct': 0.17}]"
p0020,Cameron Flukey,RHP,Coastal Carolina,College,10,6,1.0,10,10.3,9,13,"[{'pick': 9, 'team': 'Atlanta Braves', 'pct': 0.37}, {'pick': 11, 'team': 'Washington Nationals', 'pct': 0.19}, {'pick': 10, 'team': 'Colorado Rockies', 'pct': 0.17}]"
p0010,Chris Hacopian,2B,Texas A&M,College,11,6,1.0,11,11.0,9,13,"[{'pick': 11, 'team': 'Washington Nationals', 'pct': 0.26}, {'pick': 12, 'team': 'Los Angeles Angels', 'pct': 0.21}, {'pick': 10, 'team': 'Colorado Rockies', 'pct': 0.2}]"
p0011,Jared Grindlinger,OF,Huntington Beach (Calif.) HS,HS,12,5,1.0,12,12.2,10,14,"[{'pick': 12, 'team': 'Los Angeles Angels', 'pct': 0.21}, {'pick': 11, 'team': 'Washington Nationals', 'pct': 0.21}, {'pick': 13, 'team': 'St. Louis Cardinals', 'pct': 0.17}]"
p0013,Liam Peterson,RHP,Florida,College,13,6,1.0,13,13.4,11,16,"[{'pick': 13, 'team': 'St. Louis Cardinals', 'pct': 0.24}, {'pick': 12, 'team': 'Los Angeles Angels', 'pct': 0.15}, {'pick': 14, 'team': 'Miami Marlins', 'pct': 0.15}]"
p0019,Justin Lebron,SS,Alabama,College,14,6,1.0,14,14.1,12,17,"[{'pick': 14, 'team': 'Miami Marlins', 'pct': 0.22}, {'pick': 15, 'team': 'Arizona Diamondbacks', 'pct': 0.17}, {'pick': 13, 'team': 'St. Louis Cardinals', 'pct': 0.15}]"
p0009,Tyler Bell,SS,Kentucky,College,15,6,1.0,15,15.0,12,18,"[{'pick': 15, 'team': 'Arizona Diamondbacks', 'pct': 0.2}, {'pick': 14, 'team': 'Miami Marlins', 'pct': 0.18}, {'pick': 16, 'team': 'Texas Rangers', 'pct': 0.18}]"
p0014,Sawyer Strosnider,OF,TCU,College,17,6,1.0,17,17.0,14,20,"[{'pick': 17, 'team': 'Houston Astros', 'pct': 0.17}, {'pick': 16, 'team': 'Texas Rangers', 'pct': 0.16}, {'pick': 18, 'team': 'Cincinnati Reds', 'pct': 0.15}]"
