year,overall,round,team,player,position,school,level
2018,1,1,Detroit Tigers,Casey Mize,RHP,Auburn University,College
2018,2,1,San Francisco Giants,Joey Bart,C,Georgia Institute of Technology,College
2018,3,1,Philadelphia Phillies,Alec Bohm,3B,Wichita State University,College
2018,4,1,Chicago White Sox,Nick Madrigal,SS,Oregon State University,College
2018,5,1,Cincinnati Reds,Jonathan India,3B,University of Florida,College
2018,6,1,New York Mets,Jarred Kelenic,OF,Waukesha West HS,HS
2018,7,1,San Diego Padres,Ryan Weathers,LHP,Loretto HS,HS
2018,8,1,Atlanta Braves,Carter Stewart,RHP,Eau Gallie HS,HS
2018,9,1,Athletics,Kyler Murray,CF,University of Oklahoma,College
2018,10,1,Pittsburgh Pirates,Travis Swaggerty,OF,University of South Alabama,College
2018,11,1,Baltimore Orioles,Grayson Rodriguez,RHP,Central Heights HS,HS
2018,12,1,Toronto Blue Jays,Jordan Groshans,SS,Magnolia HS,HS
2018,13,1,Miami Marlins,Connor Scott,OF,H. B. Plant HS,HS
2018,14,1,Seattle Mariners,Logan Gilbert,RHP,Stetson University,College
2018,15,1,Texas Rangers,Cole Winn,RHP,Orange Lutheran HS,HS
2018,16,1,Tampa Bay Rays,Matthew Liberatore,LHP,Mountain Ridge HS,HS
2018,17,1,Los Angeles Angels,Jordyn Adams,OF,Green Hope HS,HS
2018,18,1,Kansas City Royals,Brady Singer,RHP,University of Florida,College
2018,19,1,St. Louis Cardinals,Nolan Gorman,3B,Sandra Day O'Connor HS,HS
2018,20,1,Minnesota Twins,Trevor Larnach,RF,Oregon State University,College
2018,21,1,Milwaukee Brewers,Brice Turang,SS,Santiago HS,HS
2018,22,1,Colorado Rockies,Ryan Rolison,LHP,University of Mississippi,College
2018,23,1,New York Yankees,Anthony Seigler,C,Cartersville HS,HS
2018,24,1,Chicago Cubs,Nico Hoerner,SS,Stanford University,College
2018,25,1,Arizona Diamondbacks,Matt McLain,2B,Arnold O. Beckman HS,HS
2018,26,1,Boston Red Sox,Triston Casas,3B,American Heritage HS,HS
2018,27,1,Washington Nationals,Mason Denaburg,RHP,Merritt Island HS,HS
2018,28,1,Houston Astros,Seth Beer,OF,Clemson University,College
2018,29,1,Cleveland Guardians,Bo Naylor,C,St. Joan of Arc Catholic SS,HS
2018,30,1,Los Angeles Dodgers,J.T. Ginn,RHP,Brandon HS,HS
2018,31,1,Tampa Bay Rays,Shane McClanahan,LHP,University of South Florida,College
2018,32,1,Tampa Bay Rays,Nick Schnell,CF,Roncalli HS,HS
2018,33,1,Kansas City Royals,Jackson Kowar,RHP,University of Florida,College
2018,34,1,Kansas City Royals,Daniel Lynch IV,LHP,University of Virginia,College
2018,35,1,Cleveland Guardians,Ethan Hankins,RHP,Forsyth Central HS,HS
2018,36,1,Pittsburgh Pirates,Gunnar Hoglund,RHP,Fivay HS,HS
2018,37,1,Baltimore Orioles,Cadyn Grenier,SS,Oregon State University,College
2018,38,1,San Diego Padres,Xavier Edwards,SS,North Broward Preparatory School,HS
2018,39,1,Arizona Diamondbacks,Jake McCarthy,OF,University of Virginia,College
2018,40,1,Kansas City Royals,Kris Bubic,LHP,Stanford University,College
2018,41,1,Cleveland Guardians,Lenny Torres,RHP,Beacon HS,HS
2018,42,1,Colorado Rockies,Grant Lavigne,1B,Bedford HS,HS
2018,43,1,St. Louis Cardinals,Griffin Roberts,RHP,Wake Forest University,College
2019,1,1,Baltimore Orioles,Adley Rutschman,C,Oregon State University,College
2019,2,1,Kansas City Royals,Bobby Witt Jr.,SS,Colleyville Heritage HS,HS
2019,3,1,Chicago White Sox,Andrew Vaughn,1B,"University of California, Berkeley",College
2019,4,1,Miami Marlins,JJ Bleday,OF,Vanderbilt University,College
2019,5,1,Detroit Tigers,Riley Greene,OF,Paul J. Hagerty HS,HS
2019,6,1,San Diego Padres,CJ Abrams,SS,Blessed Trinity Catholic HS,HS
2019,7,1,Cincinnati Reds,Nick Lodolo,P,Texas Christian University,College
2019,8,1,Texas Rangers,Josh Jung,3B,Texas Tech University,College
2019,9,1,Atlanta Braves,Shea Langeliers,C,Baylor University,College
2019,10,1,San Francisco Giants,Hunter Bishop,OF,Arizona State University,College
2019,11,1,Toronto Blue Jays,Alek Manoah,P,West Virginia University,College
2019,12,1,New York Mets,Brett Baty,3B,Lake Travis HS,HS
2019,13,1,Minnesota Twins,Keoni Cavaco,SS,Eastlake HS,HS
2019,14,1,Philadelphia Phillies,Bryson Stott,SS,"University of Nevada, Las Vegas",College
2019,15,1,Los Angeles Angels,Will Wilson,SS,North Carolina State University,College
2019,16,1,Arizona Diamondbacks,Corbin Carroll,CF,Lakeside School,HS
2019,17,1,Washington Nationals,Jackson Rutledge,P,"San Jacinto College, North Campus",JUCO
2019,18,1,Pittsburgh Pirates,Quinn Priester,P,Cary-Grove HS,HS
2019,19,1,St. Louis Cardinals,Zack Thompson,P,University of Kentucky,College
2019,20,1,Seattle Mariners,George Kirby,P,Elon University,College
2019,21,1,Atlanta Braves,Braden Shewmake,SS,Texas A&M University,College
