team,n_picks,pct_college,pct_hs,pct_pitcher,pct_hitter,pb_C,pb_IF,pb_OF,pb_P,recent_first_round,position_breakdown
Arizona Diamondbacks,17,47.1,52.9,41.2,58.8,0,5,5,7,"[{'year': 2025, 'overall': 18, 'player': 'Kayson Cunningham', 'position': 'SS', 'school': 'Lady Bird Johnson HS', 'level': 'HS'}, {'year': 2025, 'overall': 29, 'player': 'Patrick Forbes', 'position': 'P', 'school': 'University of Louisville', 'level': 'College'}, {'year': 2024, 'overall': 29, 'player': 'Slade Caldwell', 'position': 'OF', 'school': 'Valley View HS', 'level': 'HS'}, {'year': 2024, 'overall': 31, 'player': 'Ryan Waldschmidt', 'position': 'OF', 'school': 'University of Kentucky', 'level': 'College'}, {'year': 2024, 'overall': 35, 'player': 'JD Dix', 'position': 'SS', 'school': 'Whitefish Bay HS', 'level': 'HS'}]","{'C': 0, 'IF': 5, 'OF': 5, 'P': 7}"
Athletics,9,66.7,33.3,11.1,88.9,2,5,1,1,"[{'year': 2025, 'overall': 11, 'player': 'Jamie Arnold', 'position': 'P', 'school': 'Florida State University', 'level': 'College'}, {'year': 2024, 'overall': 4, 'player': 'Nick Kurtz', 'position': '1B', 'school': 'Wake Forest University', 'level': 'College'}, {'year': 2023, 'overall': 6, 'player': 'Jacob Wilson', 'position': 'SS', 'school': 'Grand Canyon University', 'level': 'College'}, {'year': 2023, 'overall': 39, 'player': 'Myles Naylor', 'position': '3B', 'school': 'St. Joan of Arc Catholic SS', 'level': 'HS'}, {'year': 2022, 'overall': 19, 'player': 'Daniel Susac', 'position': 'C', 'school': 'University of Arizona', 'level': 'College'}]","{'C': 2, 'IF': 5, 'OF': 1, 'P': 1}"
Atlanta Braves,10,50.0,50.0,70.0,30.0,1,2,0,7,"[{'year': 2025, 'overall': 22, 'player': 'Tate Southisene', 'position': 'SS', 'school': 'Basic HS', 'level': 'HS'}, {'year': 2024, 'overall': 24, 'player': 'Cam Caminiti', 'position': 'P', 'school': 'Saguaro HS', 'level': 'HS'}, {'year': 2023, 'overall': 24, 'player': 'Hurston Waldrep', 'position': 'P', 'school': 'University of Florida', 'level': 'College'}, {'year': 2022, 'overall': 20, 'player': 'Owen Murphy', 'position': 'P', 'school': 'Riverside-Brookfield HS', 'level': 'HS'}, {'year': 2022, 'overall': 35, 'player': 'JR Ritchie', 'position': 'P', 'school': 'Bainbridge HS', 'level': 'HS'}]","{'C': 1, 'IF': 2, 'OF': 0, 'P': 7}"
Baltimore Orioles,15,80.0,20.0,6.7,93.3,3,5,6,1,"[{'year': 2025, 'overall': 19, 'player': 'Ike Irish', 'position': 'C', 'school': 'Auburn University', 'level': 'College'}, {'year': 2025, 'overall': 30, 'player': 'Caden Bodine', 'position': 'C', 'school': 'Coastal Carolina University', 'level': 'College'}, {'year': 2025, 'overall': 31, 'player': 'Wehiwa Aloy', 'position': 'SS', 'school': 'University of Arkansas', 'level': 'College'}, {'year': 2025, 'overall': 37, 'player': 'Slater de Brun', 'position': 'OF', 'school': 'Summit HS', 'level': 'HS'}, {'year': 2024, 'overall': 22, 'player': 'Vance Honeycutt', 'position': 'OF', 'school': 'University of North Carolina at Chapel Hill', 'level': 'College'}]","{'C': 3, 'IF': 5, 'OF': 6, 'P': 1}"
Boston Red Sox,8,50.0,50.0,25.0,75.0,1,4,1,2,"[{'year': 2025, 'overall': 15, 'player': 'Kyson Witherspoon', 'position': 'P', 'school': 'University of Oklahoma', 'level': 'College'}, {'year': 2025, 'overall': 33, 'player': 'Marcus Phillips', 'position': 'P', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2024, 'overall': 12, 'player': 'Braden Montgomery', 'position': 'OF', 'school': 'Texas A&M University', 'level': 'College'}, {'year': 2023, 'overall': 14, 'player': 'Kyle Teel', 'position': 'C', 'school': 'University of Virginia', 'level': 'College'}, {'year': 2022, 'overall': 24, 'player': 'Mikey Romero', 'position': 'SS', 'school': 'Orange Lutheran HS', 'level': 'HS'}]","{'C': 1, 'IF': 4, 'OF': 1, 'P': 2}"
Chicago Cubs,8,87.5,12.5,37.5,62.5,0,4,1,3,"[{'year': 2025, 'overall': 17, 'player': 'Ethan Conrad', 'position': 'OF', 'school': 'Wake Forest University', 'level': 'College'}, {'year': 2024, 'overall': 14, 'player': 'Cam Smith', 'position': '3B', 'school': 'Florida State University', 'level': 'College'}, {'year': 2023, 'overall': 13, 'player': 'Matt Shaw', 'position': 'SS', 'school': 'University of Maryland', 'level': 'College'}, {'year': 2022, 'overall': 7, 'player': 'Cade Horton', 'position': 'P', 'school': 'University of Oklahoma', 'level': 'College'}, {'year': 2021, 'overall': 21, 'player': 'Jordan Wicks', 'position': 'P', 'school': 'Kansas State University', 'level': 'College'}]","{'C': 0, 'IF': 4, 'OF': 1, 'P': 3}"
Chicago White Sox,8,62.5,37.5,37.5,62.5,0,5,0,3,"[{'year': 2025, 'overall': 10, 'player': 'Billy Carlson', 'position': 'SS', 'school': 'Corona HS', 'level': 'HS'}, {'year': 2024, 'overall': 5, 'player': 'Hagen Smith', 'position': 'P', 'school': 'University of Arkansas', 'level': 'College'}, {'year': 2023, 'overall': 15, 'player': 'Jacob Gonzalez', 'position': 'SS', 'school': 'University of Mississippi', 'level': 'College'}, {'year': 2022, 'overall': 26, 'player': 'Noah Schultz', 'position': 'P', 'school': 'Oswego East HS', 'level': 'HS'}, {'year': 2021, 'overall': 22, 'player': 'Colson Montgomery', 'position': 'SS', 'school': 'Southridge HS', 'level': 'HS'}]","{'C': 0, 'IF': 5, 'OF': 0, 'P': 3}"
Cincinnati Reds,12,58.3,33.3,33.3,66.7,1,5,2,4,"[{'year': 2025, 'overall': 9, 'player': 'Steele Hall', 'position': 'SS', 'school': 'Hewitt-Trussville HS', 'level': 'HS'}, {'year': 2024, 'overall': 2, 'player': 'Chase Burns', 'position': 'P', 'school': 'Wake Forest University', 'level': 'College'}, {'year': 2023, 'overall': 7, 'player': 'Rhett Lowder', 'position': 'P', 'school': 'Wake Forest University', 'level': 'College'}, {'year': 2023, 'overall': 38, 'player': 'Ty Floyd', 'position': 'P', 'school': 'Louisiana State University', 'level': 'College'}, {'year': 2022, 'overall': 18, 'player': 'Cam Collier', 'position': '3B', 'school': 'Chipola College', 'level': 'JUCO'}]","{'C': 1, 'IF': 5, 'OF': 2, 'P': 4}"
Cleveland Guardians,13,46.2,53.8,53.8,46.2,2,2,2,7,"[{'year': 2025, 'overall': 27, 'player': 'Jace LaViolette', 'position': 'OF', 'school': 'Texas A&M University', 'level': 'College'}, {'year': 2024, 'overall': 1, 'player': 'Travis Bazzana', 'position': '2B', 'school': 'Oregon State University', 'level': 'College'}, {'year': 2024, 'overall': 36, 'player': 'Braylon Doughty', 'position': 'P', 'school': 'Chaparral HS', 'level': 'HS'}, {'year': 2023, 'overall': 23, 'player': 'Ralphy Velazquez', 'position': 'C', 'school': 'Huntington Beach HS', 'level': 'HS'}, {'year': 2022, 'overall': 16, 'player': 'Chase DeLauter', 'position': 'OF', 'school': 'James Madison University', 'level': 'College'}]","{'C': 2, 'IF': 2, 'OF': 2, 'P': 7}"
Colorado Rockies,13,61.5,38.5,30.8,69.2,1,3,5,4,"[{'year': 2025, 'overall': 4, 'player': 'Ethan Holliday', 'position': 'SS', 'school': 'Stillwater HS', 'level': 'HS'}, {'year': 2024, 'overall': 3, 'player': 'Charlie Condon', 'position': 'OF', 'school': 'University of Georgia', 'level': 'College'}, {'year': 2024, 'overall': 38, 'player': 'Brody Brecht', 'position': 'P', 'school': 'University of Iowa', 'level': 'College'}, {'year': 2023, 'overall': 9, 'player': 'Chase Dollander', 'position': 'P', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2022, 'overall': 10, 'player': 'Gabriel Hughes', 'position': 'P', 'school': 'Gonzaga University', 'level': 'College'}]","{'C': 1, 'IF': 3, 'OF': 5, 'P': 4}"
